Name,Role,BasePrice,Rating
Krishnappa Gowtham,All-Rounder,5000000,76
Moeen Ali,All-Rounder,5000000,76
Cheteshwar Pujara,Batsman,20000000,96
K.Bhagath Varma,All-Rounder,10000000,80
C Hari Nishaanth,Batsman,10000000,84
M. Harisankar Reddy,Bowler,7500000,78
Tom Curran ,All-Rounder ,7500000,83
Steven Smith ,Batsman ,15000000,86
Sam Billings ,Wicket Keeper ,3000000,64
Umesh Yadav ,Bowler ,3000000,68
Ripal Patel ,All-Rounder ,2000000,68
Vishnu Vinod ,Wicket Keeper ,5000000,73
Lukman Hussain Meriwala ,Bowler ,20000000,91
M Siddharth ,Bowler ,2000000,63
Shakib Al Hasan ,All-Rounder ,3000000,66
Harbhajan Singh ,Bowler ,10000000,81
Ben Cutting ,All-Rounder ,3000000,68
Karun Nair ,Batsman ,15000000,89
Pawan Negi ,All-Rounder ,15000000,87
Venkatesh Iyer ,All-Rounder ,15000000,85
Sheldon Jackson ,Wicket Keeper ,15000000,90
Vaibhav Arora ,Bowler ,10000000,88
Nathan Coulter-Nile ,Bowler ,5000000,73
Adam Milne ,Bowler ,10000000,82
Piyush Chawla ,Bowler ,7500000,84
James Neesham ,All-Rounder ,2000000,68
Yudhvir Charak ,All-Rounder ,2000000,66
Marco Jansen ,All-Rounder ,2000000,69
Arjun Tendulkar ,All-Rounder ,20000000,93
Jhye Richardson ,Bowler ,2000000,67
Riley Meredith ,Bowler ,15000000,88
Shahrukh Khan ,All-Rounder ,7500000,84
Moises Henriques ,All-Rounder ,10000000,88
Dawid Malan ,All-Rounder ,7500000,78
Fabian Allen , All-Rounder ,2000000,63
Jalaj Saxena ,All-Rounder ,7500000,80
Saurabh Kumar ,All-Rounder ,5000000,78
Utkarsh Singh ,All-Rounder ,15000000,93
Christopher Morris ,All-Rounder ,20000000,97
Shivam Dube ,All-Rounder ,10000000,81
Chetan Sakariya ,Bowler ,2000000,60
Mustafizur Rahman ,Bowler ,10000000,88
Liam Livingstone ,All-Rounder ,5000000,73
K.C Cariappa ,Bowler ,3000000,67
Akash Singh ,Bowler,2000000,63
Kuldip Yadav , Bowler ,2000000,67
Kyle Jamieson ,All-Rounder ,15000000,92
Glenn Maxwell ,All-Rounder ,3000000,65
Dan Christian ,All-Rounder ,3000000,67
Sachin Baby ,Batsman ,20000000,90
Rajat Patidar ,Batsman ,20000000,94
Mohammed Azharudeen ,Wicket Keeper ,7500000,79
Suyash Prabhudesai ,All-Rounder ,20000000,98
Kona Srikar Bharat , Wicket Keeper,15000000,85
Kedar Jadhav ,All-Rounder ,3000000,65
Mujeeb Zadran ,Bowler ,10000000,83
J Suchith ,Bowler ,10000000,84
Michael Hussey,Batsman,15000000,94
Irfan Pathan,All-Rounder,5000000,77
Rahul Sharma,Bowler,10000000,83
Kyle Abbott,Bowler,15000000,94
Andrew Tye,Bowler,15000000,94
Pratyush Singh,All-Rounder,20000000,91
Ankush Bains,Wicket Keeper,15000000,89
Eklavya Dwivedi,Wicket Keeper,20000000,95
Yuvraj Singh,Batsman,2000000,65
Angelo Mathews,All-Rounder,20000000,92
Zaheer Khan,Bowler,3000000,64
Amit Mishra,Bowler,10000000,89
Shreyas Iyer,Batsman,2000000,61
Gurinder Sandhu,Bowler,7500000,84
Jaydev Unadkat,Bowler,7500000,81
Domnic Joseph Muthuswamy,Bowler,15000000,90
Albie Morkel,All-Rounder,3000000,68
Travis Head,Batsman,7500000,78
Marcus Stoinis,All-Rounder,5000000,70
C.M. Gautam,Wicket Keeper,20000000,90
Kona Srikar Bharat,Wicket Keeper,15000000,89
K.K. Jiyaz,Bowler,10000000,87
Murali Vijay,Batsman,3000000,63
Nikhil Shankar Naik,Wicket Keeper,15000000,89
Yogesh Gowalkar,All-Rounder,5000000,72
K.C. Cariappa,Bowler,20000000,97
James Neesham,All-Rounder,7500000,75
Brad Hogg,Bowler,15000000,85
Aditya Garhwal,All-Rounder,10000000,81
Sheldon Jackson,Batsman,7500000,81
Sumit Narwal,All-Rounder,10000000,84
Vaibhav Rawal,All-Rounder,10000000,83
Aaron Finch,Batsman,15000000,86
Pragyan Ojha,Bowler,2000000,62
Abhimanyu Mithun,Bowler,3000000,65
Mitchell McClenaghan,Bowler,3000000,62
Aiden Blizzard,Batsman,5000000,70
Hardik Pandya,All-Rounder,2000000,64
Akshay Wakhare,Bowler,7500000,76
Nitish Rana,All-Rounder,10000000,85
Siddhesh Dinesh Lad,All-Rounder,15000000,93
J. Suchitch,All-Rounder,20000000,98
Christopher Morris,All-Rounder,5000000,75
Juan Theron,Bowler,20000000,91
Barinder Singh Saran,Bowler,10000000,86
Dinesh Salunkhe,All-Rounder,3000000,60
Sagar Trivedi,All-Rounder,7500000,78
Pardeep Sahu,All-Rounder,15000000,92
Dinesh Karthik,Wicket Keeper,20000000,91
Darren Sammy,All-Rounder,20000000,90
David Wiese,All-Rounder,5000000,73
Sean Abbott,Bowler,7500000,77
Adam Milne,Bowler,10000000,89
Sarfaraz Naushad Khan,Batsman,2000000,66
Subramaniam Badrinath,Batsman,10000000,85
Jalaj Saxena,All-Rounder,5000000,78
Shishir Bhavane,Batsman,7500000,84
Trent Boult,Bowler,10000000,82
Praveen Kumar,Bowler,5000000,73
Kevin Pietersen,Batsman,5000000,72
Eoin Morgan,Batsman,15000000,92
Ravi Bopara,All-Rounder,7500000,79
Kane Williamson,All-Rounder,15000000,91
Laxmi Ratan Shukla,All-Rounder,2000000,66
Prasanth Padmanabhan,All-Rounder,10000000,83
Hanuma Vihari,Batsman,10000000,83
Siddarth Kaul,Bowler,5000000,71
Dirk Nannes,Bowler,5000000,73
Ben Laughlin,Bowler,2000000,69
Akila Dananjaya,All-Rounder,3000000,68
Jason Holder,Bowler,2000000,64
Johan Botha,All-Rounder,10000000,84
Jesse Ryder,All-Rounder,15000000,93
Jeevan Mendis,All-Rounder,10000000,89
Manpreet Gony,Bowler,2000000,62
Luke Pomersbach,Batsman,7500000,77
Sachithra Senanayaka,All-Rounder,20000000,97
Ryan McLaren,Bowler,7500000,78
Glenn Maxwell,All-Rounder,10000000,86
Nathan Coulter-Nile,Bowler,3000000,68
Ricky Ponting,Batsman,15000000,90
Philip Hughes,Batsman,2000000,61
Jacob Oram,All-Rounder,2000000,60
Ajantha Mendis,Bowler,7500000,75
Kane Richardson,Bowler,15000000,93
Abhishek Nayar,All-Rounder,10000000,81
Michael Clarke,Batsman,3000000,62
James Faulkner,All-Rounder,15000000,91
Fidel Edwards,Bowler,7500000,79
Kusal Janith Perera,Wicket Keeper,3000000,66
Rudra Pratap Singh,Bowler,3000000,64
Moises Henriques,All-Rounder,2000000,68
Ravi Rampaul,Bowler,3000000,63
Pankaj Singh,Bowler,2000000,69
Daniel Christian,All-Rounder,3000000,66
Christopher Barnwell,All-Rounder,15000000,93
Thisara Perera,All-Rounder,10000000,81
Sudeep Tyagi,Bowler,7500000,83
Clinton McKay,Bowler,7500000,81
Nathan McCullum,Bowler,7500000,82
Quinton De Kock,Wicket Keeper,3000000,65
Pawan Negi,All-Rounder,5000000,71
Sanju Samson,Wicket Keeper,5000000,76
Carlos Brathwaite,All-Rounder,3000000,61
Karun Nair,Batsman,2000000,63
Rishabh Pant,Wicket Keeper,2000000,69
Joel Paris,Bowler,3000000,67
Sam Billings,Wicket Keeper,10000000,89
Chama Milind,Bowler,20000000,92
Mahipal Lomror,All-Rounder,5000000,79
Syed Khaleel Ahmed,All-Rounder,10000000,81
Akhil Arvind Herwadkar,All-Rounder,20000000,98
Pawan Suyal,Bowler,15000000,87
Dale Steyn,Bowler,20000000,90
